supplier_id,supplier_name,contact_name,email,phone,status
1,Brown Manufacturing,Jessica Rodriguez,vendor1@manufacturing.net,888-347-8639,ACTIVE
2,Williams Manufacturing,William Wilson,vendor2@manufacturing.net,888-856-1051,SUSPENDED
3,Miller Manufacturing,Charles Rodriguez,vendor3@manufacturing.net,888-255-2687,SUSPENDED
4,Jones Manufacturing,John Garcia,vendor4@manufacturing.net,888-151-7003,SUSPENDED
5,Williams Manufacturing,Thomas Taylor,vendor5@manufacturing.net,888-523-5710,ACTIVE
6,Moore Manufacturing,Karen Smith,vendor6@manufacturing.net,888-664-8933,ACTIVE
7,Jones Manufacturing,Patricia Miller,vendor7@manufacturing.net,888-229-1940,SUSPENDED
8,Thomas Manufacturing,Susan Martin,vendor8@manufacturing.net,888-519-6121,SUSPENDED
9,Gonzalez Manufacturing,Charles Taylor,vendor9@manufacturing.net,888-478-4483,INACTIVE
10,Gonzalez Manufacturing,David Martinez,vendor10@manufacturing.net,888-804-2033,ACTIVE
11,Martin Manufacturing,Sarah Johnson,vendor11@manufacturing.net,888-567-2648,INACTIVE
12,Martinez Manufacturing,Barbara Hernandez,vendor12@manufacturing.net,888-850-5014,SUSPENDED
13,Davis Manufacturing,Barbara Smith,vendor13@manufacturing.net,888-231-5074,INACTIVE
14,Martin Manufacturing,Jennifer Martinez,vendor14@manufacturing.net,888-576-1299,ACTIVE
15,Davis Manufacturing,David Miller,vendor15@manufacturing.net,888-422-4486,SUSPENDED
16,Gonzalez Manufacturing,Patricia Williams,vendor16@manufacturing.net,888-264-8842,SUSPENDED
17,Anderson Manufacturing,Jessica Moore,vendor17@manufacturing.net,888-548-8422,ACTIVE
18,Hernandez Manufacturing,William Wilson,vendor18@manufacturing.net,888-990-4460,ACTIVE
19,Martin Manufacturing,Barbara Anderson,vendor19@manufacturing.net,888-365-4569,INACTIVE
20,Anderson Manufacturing,William Martin,vendor20@manufacturing.net,888-741-1248,ACTIVE
21,Brown Manufacturing,Thomas Johnson,vendor21@manufacturing.net,888-220-7140,ACTIVE
22,Martin Manufacturing,Jennifer Martinez,vendor22@manufacturing.net,888-222-6415,ACTIVE
23,Rodriguez Manufacturing,Linda Lopez,vendor23@manufacturing.net,888-185-7675,ACTIVE
24,Miller Manufacturing,Robert Martinez,vendor24@manufacturing.net,888-926-5969,ACTIVE
25,Jones Manufacturing,Elizabeth Moore,vendor25@manufacturing.net,888-980-1247,SUSPENDED
26,Smith Manufacturing,Karen Rodriguez,vendor26@manufacturing.net,888-206-2590,SUSPENDED
27,Williams Manufacturing,Charles Wilson,vendor27@manufacturing.net,888-786-7960,INACTIVE
28,Thomas Manufacturing,Joseph Moore,vendor28@manufacturing.net,888-119-6078,ACTIVE
29,Martinez Manufacturing,John Gonzalez,vendor29@manufacturing.net,888-764-4919,ACTIVE
30,Williams Manufacturing,Richard Lopez,vendor30@manufacturing.net,888-699-8716,INACTIVE
31,Thomas Manufacturing,Patricia Martin,vendor31@manufacturing.net,888-132-8969,SUSPENDED
32,Gonzalez Manufacturing,John Smith,vendor32@manufacturing.net,888-170-4666,ACTIVE
33,Brown Manufacturing,John Martin,vendor33@manufacturing.net,888-873-3721,ACTIVE
34,Davis Manufacturing,Karen Brown,vendor34@manufacturing.net,888-451-8321,ACTIVE
35,Hernandez Manufacturing,Charles Taylor,vendor35@manufacturing.net,888-603-7280,ACTIVE
36,Rodriguez Manufacturing,Barbara Davis,vendor36@manufacturing.net,888-905-5751,SUSPENDED
37,Rodriguez Manufacturing,Jennifer Brown,vendor37@manufacturing.net,888-787-3170,ACTIVE
38,Gonzalez Manufacturing,David Jackson,vendor38@manufacturing.net,888-546-4455,ACTIVE
39,Anderson Manufacturing,Linda Brown,vendor39@manufacturing.net,888-982-6902,ACTIVE
40,Johnson Manufacturing,Jennifer Miller,vendor40@manufacturing.net,888-505-9096,SUSPENDED
41,Taylor Manufacturing,Patricia Jones,vendor41@manufacturing.net,888-534-6380,INACTIVE
42,Miller Manufacturing,Thomas Moore,vendor42@manufacturing.net,888-667-9870,ACTIVE
43,Lopez Manufacturing,Joseph Taylor,vendor43@manufacturing.net,888-323-9449,ACTIVE
44,Wilson Manufacturing,James Jackson,vendor44@manufacturing.net,888-208-6765,ACTIVE
45,Johnson Manufacturing,Joseph Williams,vendor45@manufacturing.net,888-656-3634,SUSPENDED
46,Thomas Manufacturing,David Wilson,vendor46@manufacturing.net,888-719-9222,ACTIVE
47,Rodriguez Manufacturing,John Rodriguez,vendor47@manufacturing.net,888-308-3227,SUSPENDED
48,Lopez Manufacturing,Michael Thomas,vendor48@manufacturing.net,888-588-5623,ACTIVE
49,Moore Manufacturing,Michael Jackson,vendor49@manufacturing.net,888-560-7548,SUSPENDED
50,Johnson Manufacturing,Robert Miller,vendor50@manufacturing.net,888-451-5552,INACTIVE
51,Anderson Manufacturing,James Miller,vendor51@manufacturing.net,888-760-1697,INACTIVE
52,Taylor Manufacturing,Robert Rodriguez,vendor52@manufacturing.net,888-843-8176,ACTIVE
53,Taylor Manufacturing,Karen Gonzalez,vendor53@manufacturing.net,888-369-5919,ACTIVE
54,Rodriguez Manufacturing,Patricia Garcia,vendor54@manufacturing.net,888-610-2724,ACTIVE
55,Jackson Manufacturing,Richard Wilson,vendor55@manufacturing.net,888-576-2595,INACTIVE
56,Davis Manufacturing,Patricia Garcia,vendor56@manufacturing.net,888-127-6061,INACTIVE
57,Thomas Manufacturing,Michael Martin,vendor57@manufacturing.net,888-179-8816,ACTIVE
58,Gonzalez Manufacturing,Charles Miller,vendor58@manufacturing.net,888-355-9186,ACTIVE
59,Lopez Manufacturing,Patricia Miller,vendor59@manufacturing.net,888-704-1363,INACTIVE
60,Thomas Manufacturing,Mary Rodriguez,vendor60@manufacturing.net,888-307-4015,SUSPENDED
61,Johnson Manufacturing,Mary Martin,vendor61@manufacturing.net,888-856-9738,INACTIVE
62,Gonzalez Manufacturing,Joseph Martinez,vendor62@manufacturing.net,888-488-5594,INACTIVE
63,Williams Manufacturing,David Taylor,vendor63@manufacturing.net,888-822-4507,ACTIVE
64,Taylor Manufacturing,Jessica Smith,vendor64@manufacturing.net,888-722-6731,ACTIVE
65,Martinez Manufacturing,Jennifer Hernandez,vendor65@manufacturing.net,888-270-4721,ACTIVE
66,Davis Manufacturing,Linda Moore,vendor66@manufacturing.net,888-519-1056,ACTIVE
67,Hernandez Manufacturing,Elizabeth Miller,vendor67@manufacturing.net,888-894-1202,ACTIVE
68,Anderson Manufacturing,Jennifer Lopez,vendor68@manufacturing.net,888-558-1494,ACTIVE
69,Jackson Manufacturing,Jessica Lopez,vendor69@manufacturing.net,888-540-3896,ACTIVE
70,Miller Manufacturing,Elizabeth Wilson,vendor70@manufacturing.net,888-280-9158,ACTIVE
71,Martinez Manufacturing,Richard Moore,vendor71@manufacturing.net,888-963-1372,ACTIVE
72,Davis Manufacturing,Elizabeth Taylor,vendor72@manufacturing.net,888-782-3367,ACTIVE
73,Williams Manufacturing,Thomas Rodriguez,vendor73@manufacturing.net,888-480-4312,ACTIVE
74,Jackson Manufacturing,Michael Moore,vendor74@manufacturing.net,888-771-9152,ACTIVE
75,Johnson Manufacturing,Jessica Johnson,vendor75@manufacturing.net,888-777-7550,ACTIVE
76,Johnson Manufacturing,Jennifer Taylor,vendor76@manufacturing.net,888-214-7624,SUSPENDED
77,Taylor Manufacturing,Jennifer Lopez,vendor77@manufacturing.net,888-511-3734,ACTIVE
78,Martinez Manufacturing,Susan Jackson,vendor78@manufacturing.net,888-456-2486,SUSPENDED
79,Thomas Manufacturing,Mary Wilson,vendor79@manufacturing.net,888-632-6533,ACTIVE
80,Rodriguez Manufacturing,Jessica Jones,vendor80@manufacturing.net,888-534-1982,ACTIVE
81,Miller Manufacturing,Richard Thomas,vendor81@manufacturing.net,888-580-9444,SUSPENDED
82,Wilson Manufacturing,Linda Williams,vendor82@manufacturing.net,888-437-3698,INACTIVE
