id,order_id,sku,product_name,quantity,unit_price_cents
1,1,SKU-ACC-202,Ergonomic Desk Mounting Arm,2,4999
2,2,SKU-CORE-101,Enterprise Base Terminal,10,14999
3,2,SKU-CORE-101,Enterprise Base Terminal,16,14999
4,2,SKU-CORE-101,Enterprise Base Terminal,15,14999
5,2,SKU-SOFT-505,Cloud Analytics Seat License (Annual),19,29999
6,2,SKU-CORE-101,Enterprise Base Terminal,20,14999
7,2,SKU-POW-303,Smart Uninterruptible Power Supply,9,8999
8,3,SKU-SOFT-505,Cloud Analytics Seat License (Annual),19,29999
9,3,SKU-POW-303,Smart Uninterruptible Power Supply,15,8999
10,3,SKU-SOFT-505,Cloud Analytics Seat License (Annual),8,29999
11,3,SKU-ACC-202,Ergonomic Desk Mounting Arm,7,4999
12,4,SKU-SOFT-505,Cloud Analytics Seat License (Annual),16,29999
13,4,SKU-CBL-404,Premium Braided Fiber Patch Cable,19,1299
14,4,SKU-CORE-101,Enterprise Base Terminal,15,14999
15,4,SKU-ACC-202,Ergonomic Desk Mounting Arm,5,4999
16,4,SKU-CORE-101,Enterprise Base Terminal,6,14999
17,5,SKU-CORE-101,Enterprise Base Terminal,11,14999
18,5,SKU-POW-303,Smart Uninterruptible Power Supply,5,8999
19,5,SKU-ACC-202,Ergonomic Desk Mounting Arm,5,4999
20,6,SKU-POW-303,Smart Uninterruptible Power Supply,7,8999
21,6,SKU-CBL-404,Premium Braided Fiber Patch Cable,13,1299
22,6,SKU-CBL-404,Premium Braided Fiber Patch Cable,5,1299
23,6,SKU-CBL-404,Premium Braided Fiber Patch Cable,19,1299
24,6,SKU-CORE-101,Enterprise Base Terminal,14,14999
25,6,SKU-CORE-101,Enterprise Base Terminal,13,14999
26,7,SKU-CORE-101,Enterprise Base Terminal,5,14999
27,7,SKU-CORE-101,Enterprise Base Terminal,10,14999
28,7,SKU-CORE-101,Enterprise Base Terminal,5,14999
29,8,SKU-CORE-101,Enterprise Base Terminal,14,14999
30,8,SKU-SOFT-505,Cloud Analytics Seat License (Annual),9,29999
31,8,SKU-SOFT-505,Cloud Analytics Seat License (Annual),17,29999
32,8,SKU-CORE-101,Enterprise Base Terminal,8,14999
33,8,SKU-POW-303,Smart Uninterruptible Power Supply,6,8999
34,8,SKU-POW-303,Smart Uninterruptible Power Supply,8,8999
35,8,SKU-CORE-101,Enterprise Base Terminal,9,14999
36,8,SKU-POW-303,Smart Uninterruptible Power Supply,11,8999
37,9,SKU-CBL-404,Premium Braided Fiber Patch Cable,11,1299
38,9,SKU-SOFT-505,Cloud Analytics Seat License (Annual),6,29999
39,9,SKU-CBL-404,Premium Braided Fiber Patch Cable,9,1299
40,9,SKU-CORE-101,Enterprise Base Terminal,18,14999
41,10,SKU-SOFT-505,Cloud Analytics Seat License (Annual),9,29999
42,10,SKU-ACC-202,Ergonomic Desk Mounting Arm,7,4999
43,10,SKU-POW-303,Smart Uninterruptible Power Supply,12,8999
44,10,SKU-CORE-101,Enterprise Base Terminal,8,14999
45,10,SKU-ACC-202,Ergonomic Desk Mounting Arm,15,4999
46,10,SKU-SOFT-505,Cloud Analytics Seat License (Annual),11,29999
47,10,SKU-POW-303,Smart Uninterruptible Power Supply,13,8999
48,11,SKU-CBL-404,Premium Braided Fiber Patch Cable,10,1299
49,11,SKU-SOFT-505,Cloud Analytics Seat License (Annual),19,29999
50,11,SKU-SOFT-505,Cloud Analytics Seat License (Annual),12,29999
51,11,SKU-CBL-404,Premium Braided Fiber Patch Cable,8,1299
52,11,SKU-POW-303,Smart Uninterruptible Power Supply,15,8999
53,12,SKU-ACC-202,Ergonomic Desk Mounting Arm,12,4999
54,12,SKU-POW-303,Smart Uninterruptible Power Supply,19,8999
55,12,SKU-CORE-101,Enterprise Base Terminal,8,14999
56,12,SKU-ACC-202,Ergonomic Desk Mounting Arm,15,4999
57,12,SKU-CORE-101,Enterprise Base Terminal,8,14999
58,12,SKU-SOFT-505,Cloud Analytics Seat License (Annual),19,29999
59,12,SKU-CBL-404,Premium Braided Fiber Patch Cable,13,1299
60,12,SKU-SOFT-505,Cloud Analytics Seat License (Annual),9,29999
61,13,SKU-SOFT-505,Cloud Analytics Seat License (Annual),6,29999
62,13,SKU-POW-303,Smart Uninterruptible Power Supply,12,8999
63,13,SKU-POW-303,Smart Uninterruptible Power Supply,12,8999
64,13,SKU-ACC-202,Ergonomic Desk Mounting Arm,13,4999
65,13,SKU-POW-303,Smart Uninterruptible Power Supply,7,8999
66,13,SKU-ACC-202,Ergonomic Desk Mounting Arm,5,4999
67,13,SKU-POW-303,Smart Uninterruptible Power Supply,8,8999
68,14,SKU-CBL-404,Premium Braided Fiber Patch Cable,14,1299
69,14,SKU-SOFT-505,Cloud Analytics Seat License (Annual),6,29999
70,14,SKU-SOFT-505,Cloud Analytics Seat License (Annual),19,29999
71,15,SKU-ACC-202,Ergonomic Desk Mounting Arm,6,4999
72,15,SKU-CORE-101,Enterprise Base Terminal,8,14999
73,15,SKU-CORE-101,Enterprise Base Terminal,19,14999
74,15,SKU-ACC-202,Ergonomic Desk Mounting Arm,14,4999
75,15,SKU-CORE-101,Enterprise Base Terminal,13,14999
76,15,SKU-POW-303,Smart Uninterruptible Power Supply,19,8999
77,15,SKU-CORE-101,Enterprise Base Terminal,5,14999
78,15,SKU-POW-303,Smart Uninterruptible Power Supply,14,8999
79,16,SKU-SOFT-505,Cloud Analytics Seat License (Annual),14,29999
80,16,SKU-CORE-101,Enterprise Base Terminal,13,14999
81,16,SKU-ACC-202,Ergonomic Desk Mounting Arm,8,4999
82,16,SKU-CORE-101,Enterprise Base Terminal,8,14999
83,16,SKU-POW-303,Smart Uninterruptible Power Supply,17,8999
84,16,SKU-SOFT-505,Cloud Analytics Seat License (Annual),15,29999
85,17,SKU-CORE-101,Enterprise Base Terminal,19,14999
86,17,SKU-POW-303,Smart Uninterruptible Power Supply,19,8999
87,17,SKU-CBL-404,Premium Braided Fiber Patch Cable,16,1299
88,17,SKU-SOFT-505,Cloud Analytics Seat License (Annual),9,29999
89,17,SKU-POW-303,Smart Uninterruptible Power Supply,12,8999
90,17,SKU-CBL-404,Premium Braided Fiber Patch Cable,13,1299
91,17,SKU-SOFT-505,Cloud Analytics Seat License (Annual),12,29999
92,18,SKU-CBL-404,Premium Braided Fiber Patch Cable,5,1299
93,18,SKU-POW-303,Smart Uninterruptible Power Supply,18,8999
94,18,SKU-CBL-404,Premium Braided Fiber Patch Cable,15,1299
95,18,SKU-POW-303,Smart Uninterruptible Power Supply,18,8999
96,18,SKU-CORE-101,Enterprise Base Terminal,14,14999
97,18,SKU-CBL-404,Premium Braided Fiber Patch Cable,5,1299
98,18,SKU-POW-303,Smart Uninterruptible Power Supply,9,8999
99,18,SKU-ACC-202,Ergonomic Desk Mounting Arm,13,4999
100,19,SKU-POW-303,Smart Uninterruptible Power Supply,9,8999
101,19,SKU-ACC-202,Ergonomic Desk Mounting Arm,11,4999
102,19,SKU-SOFT-505,Cloud Analytics Seat License (Annual),16,29999
103,19,SKU-CBL-404,Premium Braided Fiber Patch Cable,14,1299
104,19,SKU-CORE-101,Enterprise Base Terminal,15,14999
105,19,SKU-CORE-101,Enterprise Base Terminal,19,14999
106,20,SKU-ACC-202,Ergonomic Desk Mounting Arm,9,4999
107,20,SKU-CORE-101,Enterprise Base Terminal,12,14999
108,20,SKU-CORE-101,Enterprise Base Terminal,6,14999
109,20,SKU-ACC-202,Ergonomic Desk Mounting Arm,8,4999
110,20,SKU-CBL-404,Premium Braided Fiber Patch Cable,12,1299
111,21,SKU-CBL-404,Premium Braided Fiber Patch Cable,15,1299
112,21,SKU-CBL-404,Premium Braided Fiber Patch Cable,12,1299
113,21,SKU-POW-303,Smart Uninterruptible Power Supply,13,8999
114,22,SKU-SOFT-505,Cloud Analytics Seat License (Annual),12,29999
115,22,SKU-CBL-404,Premium Braided Fiber Patch Cable,18,1299
116,22,SKU-ACC-202,Ergonomic Desk Mounting Arm,8,4999
117,22,SKU-POW-303,Smart Uninterruptible Power Supply,6,8999
118,22,SKU-POW-303,Smart Uninterruptible Power Supply,18,8999
119,22,SKU-CORE-101,Enterprise Base Terminal,6,14999
120,23,SKU-POW-303,Smart Uninterruptible Power Supply,11,8999
121,23,SKU-ACC-202,Ergonomic Desk Mounting Arm,19,4999
122,23,SKU-POW-303,Smart Uninterruptible Power Supply,11,8999
123,24,SKU-SOFT-505,Cloud Analytics Seat License (Annual),6,29999
124,24,SKU-SOFT-505,Cloud Analytics Seat License (Annual),13,29999
125,24,SKU-CORE-101,Enterprise Base Terminal,10,14999
126,24,SKU-POW-303,Smart Uninterruptible Power Supply,16,8999
127,24,SKU-SOFT-505,Cloud Analytics Seat License (Annual),9,29999
128,24,SKU-CORE-101,Enterprise Base Terminal,5,14999
129,25,SKU-ACC-202,Ergonomic Desk Mounting Arm,12,4999
130,25,SKU-SOFT-505,Cloud Analytics Seat License (Annual),18,29999
131,25,SKU-POW-303,Smart Uninterruptible Power Supply,16,8999
132,25,SKU-ACC-202,Ergonomic Desk Mounting Arm,13,4999
133,25,SKU-ACC-202,Ergonomic Desk Mounting Arm,20,4999
134,25,SKU-POW-303,Smart Uninterruptible Power Supply,15,8999
135,25,SKU-CORE-101,Enterprise Base Terminal,11,14999
136,26,SKU-ACC-202,Ergonomic Desk Mounting Arm,19,4999
137,26,SKU-CORE-101,Enterprise Base Terminal,13,14999
138,26,SKU-ACC-202,Ergonomic Desk Mounting Arm,16,4999
139,26,SKU-POW-303,Smart Uninterruptible Power Supply,19,8999
140,26,SKU-CORE-101,Enterprise Base Terminal,10,14999
141,27,SKU-CORE-101,Enterprise Base Terminal,16,14999
142,27,SKU-CORE-101,Enterprise Base Terminal,17,14999
143,27,SKU-CBL-404,Premium Braided Fiber Patch Cable,12,1299
144,27,SKU-CBL-404,Premium Braided Fiber Patch Cable,16,1299
145,27,SKU-SOFT-505,Cloud Analytics Seat License (Annual),8,29999
146,27,SKU-POW-303,Smart Uninterruptible Power Supply,20,8999
147,27,SKU-SOFT-505,Cloud Analytics Seat License (Annual),14,29999
148,27,SKU-POW-303,Smart Uninterruptible Power Supply,13,8999
149,28,SKU-CBL-404,Premium Braided Fiber Patch Cable,7,1299
150,28,SKU-SOFT-505,Cloud Analytics Seat License (Annual),18,29999
151,28,SKU-ACC-202,Ergonomic Desk Mounting Arm,19,4999
152,28,SKU-ACC-202,Ergonomic Desk Mounting Arm,14,4999
153,29,SKU-SOFT-505,Cloud Analytics Seat License (Annual),17,29999
154,29,SKU-POW-303,Smart Uninterruptible Power Supply,13,8999
155,29,SKU-POW-303,Smart Uninterruptible Power Supply,17,8999
156,29,SKU-POW-303,Smart Uninterruptible Power Supply,17,8999
